date,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,sentiment_compound_mean,sentiment_compound_std,sentiment_compound_min,sentiment_compound_max,news_count,sentiment_momentum,sentiment_ma5,sentiment_ma10
2025-10-16,0.286,0.0,0.714,0.5574,,0.5574,0.5574,1,,,
2025-10-17,0.07566666666666667,0.12833333333333333,0.7959999999999999,-0.20614999999999997,0.3366653160038913,-0.4215,0.296,6,-0.76355,,
2025-10-18,0.0,0.0,1.0,0.0,,0.0,0.0,1,0.20614999999999997,,
2025-10-20,0.08919999999999999,0.0224,0.8884000000000001,0.07740000000000001,0.2704244534061223,-0.2263,0.5106,5,0.07740000000000001,,
2025-10-21,0.102,0.099,0.7995,0.0129,0.018243354954612927,0.0,0.0258,2,-0.06450000000000002,0.08831000000000001,
2025-10-22,0.032,0.079,0.8888333333333334,-0.07225000000000001,0.0890663741262661,-0.1531,0.0258,6,-0.08515,-0.03762,
2025-10-23,0.133,0.026875,0.840125,0.278325,0.2721087952062032,-0.128,0.5267,8,0.35057499999999997,0.05927499999999999,
2025-10-24,0.11600000000000002,0.0,0.884,0.22366000000000003,0.23781668991052748,0.0,0.5719,5,-0.054664999999999964,0.104007,
2025-10-26,0.0,0.0,1.0,0.0,,0.0,0.0,1,-0.22366000000000003,0.088527,
2025-10-27,0.07139999999999999,0.0,0.9286,0.19276,0.2673805583807469,0.0,0.5423,5,0.19276,0.124499,0.10640450000000001
2025-10-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.19276,0.13894900000000002,0.0506645
2025-10-29,0.08133333333333333,0.0,0.9186666666666667,0.21230000000000002,0.36771438644687265,0.0,0.6369,3,0.21230000000000002,0.12574400000000002,0.0925095
2025-10-30,0.09514285714285713,0.05185714285714286,0.853,0.09517142857142857,0.44025163529617056,-0.4215,0.7351,7,-0.11712857142857144,0.10004628571428571,0.10202664285714284
2025-10-31,0.058,0.0,0.942,0.08895,0.1257942963730868,0.0,0.1779,2,-0.006221428571428572,0.1178362857142857,0.10318164285714286
2025-11-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.08895,0.07928428571428572,0.10189164285714285
2025-11-04,0.1165,0.02033333333333333,0.8631666666666667,0.1529,0.23926382091741327,0.0,0.6124,6,0.1529,0.10986428571428572,0.12440664285714284
2025-11-05,0.1034,0.0518,0.8448,0.1631,0.31024021338311386,-0.2732,0.5423,5,0.010199999999999987,0.10002428571428572,0.11288414285714285
2025-11-06,0.11374999999999999,0.0,0.88625,0.26689999999999997,0.332240093908005,0.0,0.6858,4,0.10379999999999998,0.13437,0.11720814285714284
2025-11-07,0.09414285714285715,0.10785714285714286,0.7978571428571428,-0.030299999999999976,0.3839675593935856,-0.5719,0.6124,7,-0.29719999999999996,0.11052,0.11417814285714287
2025-11-08,0.282,0.166,0.552,0.2263,,0.2263,0.2263,1,0.2566,0.15578,0.11753214285714286
2025-11-10,0.22525,0.024625,0.75025,0.310975,0.3230787155300879,-0.1531,0.91,8,0.084675,0.187395,0.14862964285714286
2025-11-11,0.11983333333333335,0.012666666666666666,0.8675,0.25403333333333333,0.21333411979021702,0.0,0.5106,6,-0.05694166666666667,0.2055816666666667,0.1528029761904762
2025-11-12,0.085,0.0265,0.8885,0.13795,0.3189405446160773,-0.1779,0.7096,6,-0.11608333333333334,0.17979166666666668,0.15708083333333334
2025-11-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.13795,0.1858516666666667,0.14818583333333332
