date,close,high,low,open,volume,return,log_return,direction,price_change,intraday_range,volatility_5d,volatility_20d,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,bb_middle,bb_upper,bb_lower,bb_width,volume_sma_20,volume_ratio,momentum_5,momentum_10,momentum_20,roc_5,roc_10
2020-01-02,3257.85009765625,3258.139892578125,3235.530029296875,3244.669921875,3459930000,,0,0,,22.60986328125,,,,,,3257.85009765625,3257.85009765625,0.0,0.0,0.0,,,,,,,,,,,,
2020-01-03,3234.85009765625,3246.14990234375,3222.340087890625,3226.360107421875,3484700000,-0.007059870562045378,-1,0,-23.0,23.809814453125,,,,,,3254.311636117788,3256.146393952546,-1.8347578347579656,-0.36695156695159314,-1.4678062678063726,,,,,,,,,,,,
2020-01-06,3246.280029296875,3246.840087890625,3214.639892578125,3217.550048828125,3702460000,0.0035333728907271933,1,1,11.429931640625,32.2001953125,,,,,,3253.076004299186,3255.4155521262,-2.33954782701403,-0.7614708189640806,-1.5780770080499495,,,,,,,,,,,,
2020-01-07,3237.179931640625,3244.909912109375,3232.429931640625,3241.860107421875,3435910000,-0.0028032386528962228,-1,0,-9.10009765625,12.47998046875,,,,,,3250.6304546594074,3254.0647654235645,-3.4343107641570896,-1.2960388080026823,-2.1382719561544072,,,,,,,,,,,,
2020-01-08,3253.050048828125,3267.070068359375,3236.669921875,3238.590087890625,3726840000,0.004902451368978156,1,1,15.8701171875,30.400146484375,,,,,,3251.002699916133,3253.9896012313097,-2.9869013151765103,-1.6342113094374482,-1.352690005739062,,,,,,,,,,,,
2020-01-09,3274.699951171875,3275.580078125,3263.669921875,3266.030029296875,3641230000,0.006655262605488987,1,1,21.64990234375,11.91015625,0.005767253310583809,,,,,3254.6484308785552,3255.523701226907,-0.8752703483519326,-1.4824231172203453,0.6071527688684126,,,,,,,,16.849853515625,,,0.5172077600423377,
2020-01-10,3265.35009765625,3282.989990234375,3260.860107421875,3281.81005859375,3214580000,-0.002855178689662563,-1,0,-9.349853515625,22.1298828125,0.004444840131784405,,,,,3256.294841152047,3256.2515824438956,0.04325870815137023,-1.1772867521460022,1.2205454602973724,,,,,,,,30.5,,,0.9428566727743646,
2020-01-13,3288.1298828125,3288.1298828125,3268.429931640625,3271.1298828125,3459390000,0.006976215252569862,1,1,22.77978515625,19.699951171875,0.004996212567058444,,,,,3261.1925398690396,3258.6129380267553,2.579601842284319,-0.425909033259938,3.0055108755442568,,,,,,,,41.849853515625,,,1.2891633851035775,
2020-01-14,3283.14990234375,3294.25,3277.18994140625,3285.35009765625,3687620000,-0.001514532772802224,-1,0,-4.97998046875,17.06005859375,0.004672124006186983,,,,,3264.5705956343795,3260.4304909391253,4.140104695254195,0.48729371244288855,3.6528109828113062,,,,,,,,45.969970703125,,,1.42006226635129,
2020-01-15,3289.2900390625,3298.659912109375,3280.68994140625,3282.27001953125,3721490000,0.0018701968845122874,1,1,6.14013671875,17.969970703125,0.004530989670064254,,,,,3268.3735869310135,3262.5682352445606,5.805351686452923,1.5509053072448955,4.254446379208027,,,,,,,,36.239990234375,,,1.1140311304902932,
2020-01-16,3316.81005859375,3317.110107421875,3302.820068359375,3302.969970703125,3540580000,0.00836655302646827,1,1,27.52001953125,14.2900390625,0.004990502152224726,,,,,3275.825351802204,3266.5861480852413,9.239203716962493,3.088564989188415,6.150638727774078,,,,,,,,42.110107421875,58.9599609375,,1.2859226203855898,1.8097812720087012
2020-01-17,3329.6201171875,3329.8798828125,3318.860107421875,3323.659912109375,3726220000,0.003862162248501333,1,1,12.81005859375,11.019775390625,0.0039639361563718,,,,,3284.101469553788,3271.255330981705,12.846138572082964,5.040079705767326,7.806058866315638,,,,,,,,64.27001953125,94.77001953125,,1.9682428410166704,2.9296572227539643
2020-01-21,3320.7900390625,3329.7900390625,3316.610107421875,3321.030029296875,4104840000,-0.0026519776473655776,-1,0,-8.830078125,13.179931640625,0.004416146998942812,,,,,3289.745864862821,3274.9245686173194,14.821296245501344,6.996323013714131,7.824973231787213,,,,,,,,32.66015625,74.510009765625,,0.9932745181605829,2.2952428346658507
2020-01-22,3321.75,3337.77001953125,3320.0400390625,3330.02001953125,3623780000,0.0002890760711180551,1,1,0.9599609375,17.72998046875,0.004122587315641586,,,,,3294.669577960848,3278.3931190901108,16.276458870737315,8.852350185118768,7.424108685618547,68.317833667402,,,,,,,38.60009765625,84.570068359375,,1.1757031754381502,2.6124611589481312
2020-01-23,3325.5400390625,3326.8798828125,3301.8701171875,3315.77001953125,3766710000,0.0011409766124783616,1,1,3.7900390625,25.009765625,0.004156440732007055,,,,,3299.4188796687945,3281.88548353251,17.53339613628441,10.588559375351895,6.944836760932514,68.99162680081321,,,,,,,36.25,72.489990234375,,1.1020615260286328,2.2283699649960416
2020-01-24,3295.469970703125,3333.179931640625,3281.530029296875,3333.10009765625,3708780000,-0.009042160974207403,-1,0,-30.070068359375,51.64990234375,0.004921849880362507,,,,,3298.811355212538,3282.8917418414444,15.91961337109342,11.6547701745002,4.264843196593219,66.35898733309878,,,,,,,-21.340087890625,20.77001953125,,-0.6433919191523646,0.6342571790071116
2020-01-27,3243.6298828125,3258.85009765625,3234.5,3247.159912109375,3831050000,-0.015730711659182384,-1,0,-51.840087890625,24.35009765625,0.007114921679323078,,,,,3290.3218979202243,3279.983455987449,10.338441932775368,11.391504526155234,-1.0530625933798667,49.41287954592412,,,,,,,-85.990234375,-21.72021484375,,-2.5825839389640395,-0.6651726214392748
2020-01-28,3276.239990234375,3285.780029296875,3253.219970703125,3255.35009765625,3531570000,0.010053584595046017,1,1,32.610107421875,32.56005859375,0.009954335298500658,,,,,3288.1554505839395,3279.706162227962,8.449288355977387,10.803061292119665,-2.3537729361422777,57.83708426567809,,,,,,,-44.550048828125,-11.889892578125,,-1.3415497006459953,-0.36160045381038863
2020-01-29,3273.39990234375,3293.469970703125,3271.889892578125,3289.4599609375,3600250000,-0.0008668741908683941,-1,0,-2.840087890625,21.580078125,0.00988194247845787,,,,,3285.885366239295,3279.2390318661687,6.6463343731261375,9.97171590832096,-3.325381535194822,54.30830317371218,,,,,,,-48.35009765625,-9.75,,-1.455561004177015,-0.2969709056854134
2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000,0.003134358792605374,1,1,10.260009765625,43.10986328125,0.010122459208813345,,3280.8369995117187,,,3285.5429886808456,3279.5665044767766,5.976484204069038,9.172669567470574,-3.1961853634015363,51.99304876724231,3280.8369995117187,3341.6181732326468,3220.0558257907905,121.56234744185622,3637914000.0,1.0419020350673491,-41.880126953125,-5.630126953125,,-1.2593481498100196,-0.17116541521919654
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000,-0.01770582037552626,-1,0,-58.139892578125,67.650146484375,0.012077138003435422,0.007413916269882055,3279.220495605469,,,3276.308685734754,3275.563061147478,0.74562458727587,7.487260571431634,-6.741635984155764,42.72032155810035,3279.220495605469,3344.1536216002596,3214.287369610678,129.86625198958154,3691402500.0,1.227094579905605,-69.949951171875,-91.2900390625,-32.330078125,-2.1226092725387633,-2.752344495156435
