iter	Passed	Remaining
409	4098	2899
410	4109	2889
411	4117	2878
412	4127	2867
413	4137	2858
414	4150	2850
415	4158	2839
416	4166	2827
417	4172	2815
418	4183	2805
419	4195	2796
420	4206	2787
421	4214	2776
422	4224	2766
423	4234	2756
424	4247	2748
425	4257	2738
426	4265	2727
427	4273	2715
428	4284	2706
429	4296	2697
430	4303	2686
431	4313	2676
432	4319	2663
433	4328	2653
434	4338	2642
435	4348	2632
436	4358	2623
437	4369	2613
438	4378	2602
439	4387	2592
440	4397	2582
441	4404	2570
442	4412	2559
443	4421	2549
444	4433	2540
445	4442	2529
446	4447	2517
447	4457	2507
448	4466	2496
449	4473	2485
450	4479	2473
451	4488	2462
452	4497	2452
453	4507	2442
454	4517	2432
455	4529	2423
456	4537	2412
457	4544	2401
458	4555	2391
459	4565	2381
460	4576	2372
461	4584	2361
462	4596	2352
463	4605	2342
464	4612	2331
465	4619	2319
466	4627	2308
467	4636	2298
468	4644	2287
469	4652	2276
470	4660	2265
471	4669	2255
472	4678	2245
473	4685	2234
474	4693	2223
475	4702	2212
476	4712	2203
477	4723	2193
478	4733	2183
479	4741	2173
480	4749	2162
481	4758	2152
482	4768	2142
483	4782	2134
484	4790	2123
485	4798	2112
486	4803	2100
487	4814	2091
488	4824	2081
489	4832	2071
490	4841	2060
491	4852	2051
492	4857	2039
493	4864	2028
494	4872	2018
495	4883	2008
496	4890	1997
497	4898	1986
498	4907	1976
499	4915	1966
500	4922	1955
501	4930	1944
502	4938	1934
503	4947	1924
504	4956	1913
505	4965	1903
506	4973	1893
507	4980	1882
508	4987	1871
509	4995	1861
510	5002	1850
511	5012	1840
512	5020	1830
513	5032	1820
514	5040	1810
515	5051	1801
516	5062	1791
517	5071	1781
518	5077	1770
519	5084	1760
520	5099	1751
521	5110	1742
522	5117	1731
523	5128	1722
524	5137	1712
525	5141	1700
526	5149	1690
527	5160	1681
528	5166	1670
529	5173	1659
530	5182	1649
531	5190	1639
532	5198	1628
533	5207	1618
534	5215	1608
535	5223	1598
536	5230	1587
537	5237	1577
538	5244	1566
539	5250	1555
540	5255	1544
541	5262	1533
542	5267	1523
543	5272	1511
544	5278	1501
545	5284	1490
546	5291	1480
547	5299	1469
548	5305	1459
549	5312	1448
550	5321	1438
551	5332	1429
552	5340	1419
553	5349	1409
554	5359	1400
555	5369	1390
556	5379	1381
557	5390	1371
558	5398	1361
559	5408	1352
560	5414	1341
561	5421	1331
562	5429	1321
563	5438	1311
564	5449	1301
565	5455	1291
566	5463	1281
567	5475	1272
568	5480	1261
569	5489	1251
570	5497	1241
571	5506	1232
572	5517	1222
573	5527	1213
574	5536	1203
575	5543	1193
576	5548	1182
577	5556	1172
578	5563	1162
579	5570	1152
580	5578	1142
581	5586	1132
582	5594	1122
583	5605	1113
584	5614	1103
585	5622	1093
586	5630	1083
587	5639	1074
588	5646	1064
589	5652	1053
590	5659	1043
591	5672	1034
592	5681	1025
593	5692	1015
594	5699	1005
595	5709	996
596	5715	986
597	5722	976
598	5732	966
599	5744	957
600	5755	948
601	5762	938
602	5772	928
603	5784	919
604	5794	909
605	5802	900
606	5811	890
607	5817	880
608	5824	870
609	5832	860
610	5847	851
611	5854	841
612	5866	832
613	5872	822
614	5877	812
615	5883	802
616	5890	792
617	5896	782
618	5902	772
619	5911	762
620	5922	753
621	5932	743
622	5942	734
623	5949	724
624	5957	714
625	5965	705
626	5974	695
627	5983	686
628	5991	676
629	6002	666
630	6010	657
631	6019	647
632	6029	638
633	6036	628
634	6046	618
635	6059	609
636	6071	600
637	6081	591
638	6092	581
639	6103	572
640	6111	562
641	6126	553
642	6135	543
643	6143	534
644	6151	524
645	6159	514
646	6167	505
647	6176	495
648	6187	486
649	6197	476
650	6204	467
651	6216	457
652	6227	448
653	6233	438
654	6244	428
655	6256	419
656	6265	410
657	6275	400
658	6280	390
659	6289	381
660	6297	371
661	6307	362
662	6314	352
663	6324	342
664	6330	333
665	6339	323
666	6345	313
667	6354	304
668	6368	295
669	6376	285
670	6384	275
671	6392	266
672	6400	256
673	6408	247
674	6416	237
675	6424	228
676	6432	218
677	6440	208
678	6448	199
679	6458	189
680	6466	180
681	6474	170
682	6481	161
683	6492	151
684	6500	142
685	6511	132
686	6519	123
687	6529	113
688	6537	104
689	6546	94
690	6556	85
691	6564	75
692	6571	66
693	6581	56
694	6590	47
695	6597	37
696	6604	28
697	6612	18
698	6624	9
699	6635	0
