iter	Logloss
0	0.6918011741
1	0.6904159427
2	0.6895205911
3	0.6883247516
4	0.6873073687
5	0.6865512078
6	0.6856849974
7	0.6847224594
8	0.6834231876
9	0.682215444
10	0.6812058474
11	0.6803605694
12	0.6796769106
13	0.67898726
14	0.6785000017
15	0.6772985456
16	0.6766226899
17	0.6757796511
18	0.6748273819
19	0.6738711481
20	0.6731082929
21	0.6719361837
22	0.6708557865
23	0.6698562017
24	0.6690029443
25	0.668073988
26	0.6674775873
27	0.6665998388
28	0.6659507868
29	0.6654127802
30	0.6647993412
31	0.66415848
32	0.6634457758
33	0.6627018575
34	0.6619981752
35	0.6610242019
36	0.6596106199
37	0.658395725
38	0.6576562658
39	0.6569760086
40	0.6559473299
41	0.6552549674
42	0.6547208443
43	0.6536729516
44	0.6526275586
45	0.6518912655
46	0.6512011691
47	0.6501774965
48	0.6493716295
49	0.6484655526
50	0.6479612506
51	0.6470522823
52	0.646584999
53	0.6458510671
54	0.6452847239
55	0.644541342
56	0.6438775694
57	0.6433255778
58	0.6422241541
59	0.6415441675
60	0.6410805283
61	0.6401420702
62	0.6398113166
63	0.6393152309
64	0.638495414
65	0.637701811
66	0.6367601822
67	0.6359775544
68	0.6353296059
69	0.634510902
70	0.6338833084
71	0.6331888296
72	0.6323899254
73	0.6315454554
74	0.6310544829
75	0.6304714855
76	0.6296713668
77	0.6291505264
78	0.6283644454
79	0.6272907783
80	0.6261749617
81	0.6254355671
82	0.624590147
83	0.6242933171
84	0.6231390348
85	0.6224456321
86	0.6216691509
87	0.6209481153
88	0.620275187
89	0.6192100388
90	0.6187040882
91	0.6179124969
92	0.6170063083
93	0.616419988
94	0.615720146
95	0.6150623151
96	0.6140825554
97	0.6131341208
98	0.6123920031
99	0.6114243644
100	0.6108308426
101	0.6098885402
102	0.6094898563
103	0.608735769
104	0.6079238078
105	0.6076491303
106	0.6069034017
107	0.6062272352
108	0.6055974143
109	0.6047840142
110	0.6042462283
111	0.6035695847
112	0.6028745375
113	0.6023189126
114	0.6016544364
115	0.600799546
116	0.6002693465
117	0.5998581487
118	0.5993503869
119	0.5986437693
120	0.5979871484
121	0.5970484403
122	0.596266612
