iter	Logloss
123	0.5960827523
124	0.5956040066
125	0.5953237978
126	0.5944822238
127	0.5941072913
128	0.5935058942
129	0.5929774691
130	0.592363963
131	0.5913182592
132	0.590521827
133	0.5896606449
134	0.5893450013
135	0.5885111994
136	0.5878171697
137	0.5872957168
138	0.5866076603
139	0.5861572777
140	0.5855298938
141	0.5848753568
142	0.5841423077
143	0.5836571936
144	0.5830885634
145	0.5823517378
146	0.5815459491
147	0.5805527762
148	0.5799118914
149	0.5796628334
150	0.5788947181
151	0.5783498138
152	0.5777507824
153	0.5769262652
154	0.5763199793
155	0.5755522004
156	0.5750081015
157	0.5744176592
158	0.5736916844
159	0.573406234
160	0.5728104887
161	0.5723022629
162	0.5715895121
163	0.57108108
164	0.5705275808
165	0.5701652298
166	0.5697547389
167	0.5692794104
168	0.5687192762
169	0.5684387501
170	0.5678592818
171	0.5674129632
172	0.566892419
173	0.5666206284
174	0.5661948613
175	0.5654300981
176	0.5649821315
177	0.5641986419
178	0.5633510324
179	0.5627423572
180	0.5619276787
181	0.5615210749
182	0.5611168795
183	0.5602561367
184	0.5599445252
185	0.5592071631
186	0.5587800884
187	0.5583808822
188	0.5579075399
189	0.5572055445
190	0.5563447042
191	0.5556337061
192	0.5550293475
193	0.5546165472
194	0.5543526915
195	0.5534185891
196	0.5526171037
197	0.5520968931
198	0.5515634521
199	0.5510868893
200	0.5503503672
201	0.549699334
202	0.5490497306
203	0.5486492955
204	0.5479147948
205	0.5475223198
206	0.5471555383
207	0.546338416
208	0.545877228
209	0.5450867619
210	0.5446965224
211	0.5441430876
212	0.5438496132
213	0.5435463323
214	0.5429513219
215	0.5426045099
216	0.5418304586
217	0.5413105098
218	0.5406389149
219	0.5400460474
220	0.539670616
221	0.5391291364
222	0.5384771575
223	0.5379528992
224	0.5375202963
225	0.536798994
226	0.5365188729
227	0.5363379947
228	0.5355666409
229	0.5351573313
230	0.5345542525
231	0.5339894199
232	0.5333372188
233	0.5328817857
234	0.5324140487
235	0.5319661711
236	0.5314623473
237	0.5307843651
238	0.5303199331
239	0.5297111855
240	0.5290919079
241	0.5283854577
242	0.5280360441
243	0.5276222257
244	0.5268962626
245	0.5263147194
246	0.5256846527
247	0.5252902979
248	0.5248496369
249	0.5242575422
250	0.5236361165
251	0.5230726848
252	0.522419958
253	0.522163136
254	0.5216006077
255	0.5211560663
256	0.5203907768
257	0.5199374487
258	0.519327626
259	0.5185450643
260	0.5182769296
261	0.5178315447
262	0.5172328807
263	0.5169537503
264	0.516426378
265	0.515775117
266	0.5148737438
267	0.5143336967
268	0.513857406
269	0.5134273014
270	0.5130734638
271	0.5128356719
272	0.5123846885
273	0.5120684452
274	0.5112746004
275	0.5103313047
276	0.5099136359
277	0.5096345316
278	0.5091164834
279	0.5088130361
280	0.5083859733
281	0.5078388401
282	0.5070504779
283	0.506348776
284	0.5057062061
285	0.5048848212
286	0.5045324309
287	0.5040264685
288	0.5032052016
289	0.5027318045
290	0.5020209206
291	0.5016624401
292	0.5010657897
293	0.5005856943
294	0.4998948463
295	0.4995594934
296	0.4991561833
297	0.4987285035
298	0.4983490154
299	0.4979489349
300	0.4970285301
301	0.4962980011
302	0.4957017682
303	0.4949512377
304	0.4945177252
305	0.4938409777
306	0.4931972759
307	0.492712151
308	0.4920489728
309	0.4915840506
310	0.490914061
311	0.4905827244
312	0.4900376867
313	0.489426939
314	0.4888643141
315	0.4886556616
316	0.4880877167
317	0.4873798966
318	0.4869954792
319	0.4864951329
320	0.4857303561
321	0.4851135173
322	0.4843840029
323	0.483848023
324	0.4833077735
325	0.4827435883
326	0.4823297198
327	0.4815034171
328	0.4809694938
329	0.480217402
330	0.479430008
331	0.4788234523
332	0.4779588904
333	0.4776322532
334	0.4769891316
335	0.4765394552
336	0.4757178693
337	0.4752106605
338	0.4749100529
339	0.4742802083
340	0.4737599408
341	0.4734297765
342	0.472895832
343	0.47250792
344	0.4719844769
345	0.471429519
346	0.4711215428
347	0.470701035
348	0.4698368907
349	0.4694756485
350	0.4688222994
351	0.4682929881
352	0.4678323971
353	0.4673091937
354	0.4668027944
355	0.4663942901
356	0.4656479574
357	0.4650845235
358	0.4642836459
359	0.4638964499
360	0.4632146728
361	0.4624520652
362	0.4617387876
363	0.4612191729
364	0.460705694
365	0.4601771025
366	0.4596370036
367	0.4590298641
368	0.458490076
369	0.4578662964
370	0.4571518414
371	0.4566181468
372	0.4563801286
373	0.45581472
374	0.4552057837
375	0.4545571729
376	0.4540075399
377	0.4533456527
378	0.4527490735
379	0.4519869356
380	0.45126295
381	0.4509699095
382	0.4505067593
383	0.4500841798
384	0.4495149956
385	0.4489246382
386	0.4484471611
387	0.4481134495
388	0.4471701017
389	0.4466289224
390	0.4460632652
391	0.4456040493
392	0.4449718385
393	0.44461499
394	0.4441965157
395	0.4438210853
396	0.4429585603
397	0.4421318914
398	0.4411507222
399	0.4402433696
400	0.4398259441
401	0.4393791581
402	0.4388189182
403	0.4381178715
404	0.4372545208
405	0.4364486015
406	0.4360282464
407	0.4352655138
408	0.4347838345
409	0.4339392773
410	0.4332399599
411	0.4324568772
412	0.4317251256
413	0.4311814129
414	0.4305960344
415	0.4299631478
416	0.429633501
417	0.4291025739
418	0.4286381707
419	0.4277016497
420	0.4270207386
421	0.4262421837
422	0.4259976746
423	0.4252439916
424	0.4249104247
425	0.4245207233
426	0.4242030672
427	0.4231085977
428	0.4223426878
429	0.4220200268
430	0.4214270624
431	0.420886275
432	0.4202667713
433	0.4197841
434	0.4191408895
435	0.4187150733
436	0.418248579
437	0.4181084767
438	0.4177847991
439	0.4167902144
440	0.4163664956
441	0.4153744301
442	0.4151290208
443	0.4144448033
444	0.4136283877
445	0.4130139513
446	0.4123278589
447	0.4114584755
448	0.4110143162
449	0.4102067694
450	0.4095797661
451	0.4089453447
452	0.4080782742
453	0.4076199813
454	0.4071417467
455	0.4063203541
456	0.4058551454
457	0.4053302675
458	0.4047171289
459	0.4044851595
460	0.4041836459
461	0.4037812486
462	0.4034374628
463	0.4027429063
464	0.4022085608
465	0.4016342267
466	0.400892328
467	0.4003509074
468	0.3998385221
469	0.3990597655
470	0.3983467268
471	0.3974007166
472	0.396973816
473	0.3967600684
474	0.3962861932
475	0.3957670207
476	0.395380364
477	0.3945684809
478	0.3941879309
479	0.3938407455
480	0.393234427
481	0.3927758159
482	0.3924529605
483	0.3919198041
484	0.3916124784
485	0.3909213698
486	0.3905349659
487	0.3899279216
488	0.3895059727
489	0.3889530862
490	0.3882583448
491	0.3877221993
492	0.3875693897
493	0.3869339816
494	0.3865991387
495	0.385949053
496	0.385486216
497	0.3849511387
498	0.384328499
499	0.3836653412
500	0.3833882132
501	0.382817868
502	0.3824140101
503	0.3813029553
504	0.3808095186
505	0.3800550568
506	0.3794832346
507	0.379080299
508	0.3787148228
509	0.378143656
510	0.3776118359
511	0.3773405609
512	0.3769067952
513	0.3767593714
514	0.3764938351
515	0.3757360536
516	0.3751565137
517	0.3745958252
518	0.373822812
519	0.3736186326
520	0.3728698869
521	0.3724365676
522	0.3720137981
523	0.3715826488
524	0.3710259987
525	0.3705343424
526	0.369696524
527	0.3690846145
528	0.3687530717
529	0.3683532134
530	0.3674646102
531	0.3668530844
532	0.3664414483
533	0.3657606771
534	0.365212868
535	0.3646760564
536	0.3642361331
537	0.3637994836
538	0.3631527415
539	0.3629825074
540	0.3625333554
541	0.3621218021
542	0.3616563091
543	0.3612297692
544	0.360529237
545	0.3600664314
546	0.3594104928
547	0.3587774143
548	0.3579894103
549	0.3574845166
550	0.3569991125
551	0.3563814606
552	0.3562338986
553	0.3555662742
554	0.3548237587
555	0.3541034525
556	0.3535456751
557	0.3527864599
558	0.352273088
559	0.352099714
560	0.3516929946
561	0.3512240004
562	0.3505328135
563	0.3498695738
564	0.3494113339
565	0.3490172826
566	0.3483368924
567	0.3478799073
568	0.347547696
569	0.3471571843
570	0.3467079672
571	0.3458525107
572	0.3455730179
573	0.3451212955
574	0.3446127465
575	0.3440469651
576	0.3435600562
577	0.343070111
578	0.3426511596
579	0.3422507648
580	0.3420066096
581	0.3416160188
582	0.3412562093
583	0.3407488486
584	0.3402384519
585	0.3396437281
586	0.3391999417
587	0.3389718585
588	0.3385083462
589	0.3379559396
590	0.3375466533
591	0.3369168358
592	0.3365452864
593	0.3363767386
594	0.3358646926
595	0.3355570316
596	0.3351819913
597	0.3345890031
598	0.3342310119
599	0.3337343238
600	0.3333673136
601	0.3331777677
602	0.3326593624
603	0.332082795
604	0.3315974145
605	0.3312748313
606	0.3305183606
607	0.3300319651
608	0.3294788753
609	0.3290912152
610	0.3283487267
611	0.3279242023
612	0.3275326522
613	0.3268798331
614	0.3264855441
615	0.3257749309
616	0.325086919
617	0.3244809511
618	0.3239502616
619	0.3230571407
620	0.3226747674
621	0.3224656088
622	0.3222061992
623	0.322078083
624	0.3218404138
625	0.3213934446
626	0.3208584577
627	0.3204164248
628	0.3198326895
629	0.3194623866
630	0.3191645365
631	0.3187763756
632	0.3184761761
633	0.3180813869
634	0.3176565976
635	0.3172251177
636	0.3166056164
637	0.3163378358
638	0.3160520065
639	0.3155428737
640	0.315136525
641	0.3147994002
642	0.3142552364
643	0.3137210884
644	0.3131717461
645	0.3128506219
646	0.3124019663
647	0.3118315242
648	0.3114106483
649	0.311068839
650	0.3104507051
651	0.3101719586
652	0.3095951086
653	0.3091758095
654	0.3087857556
655	0.3083857883
656	0.3078853612
657	0.3071174894
658	0.3067900488
659	0.3061017841
660	0.3055353509
661	0.3051646726
662	0.3046449353
663	0.3042203497
664	0.3038609402
665	0.3033739231
666	0.3028717915
667	0.3023834398
668	0.3018173231
669	0.301301576
670	0.3009586716
671	0.3002815036
672	0.299917464
673	0.2995768908
674	0.2993797093
675	0.2989521545
676	0.2983082121
677	0.2978311818
678	0.2976091826
679	0.2971336688
680	0.2967473605
681	0.2962716944
682	0.2958097615
683	0.29531721
684	0.2949493012
685	0.2944965755
686	0.294392651
687	0.2937681979
688	0.2935302566
689	0.2932028339
690	0.2927504381
691	0.2922846262
692	0.2918592488
693	0.2916890949
694	0.2914246625
695	0.2909164535
696	0.2904531398
697	0.2898871322
698	0.2895590305
699	0.2893926236
